,popularity,duration,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_BLACKPINK,artist_BTS,artist_ENHYPEN,artist_ITZY,artist_IU,artist_JEON SOMI,artist_MAMAMOO,artist_Others,artist_Red Velvet,artist_SEVENTEEN,artist_Stray Kids,artist_TOMORROW X TOGETHER,artist_TWICE,artist_aespa,artist_j-hope
66,67,169.797,0,0.689,0.656,8,-4.532,1,0.143,0.0365,0.0,0.136,0.623,162.269,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,71,210.986,0,0.478,0.88,5,-3.097,0,0.0739,0.0213,0.0,0.24,0.707,158.356,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
68,71,261.542,0,0.522,0.574,9,-5.225,0,0.0317,0.224,0.0,0.108,0.176,84.044,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
69,75,238.628,0,0.602,0.841,8,-3.334,0,0.109,0.0354,0.0,0.235,0.684,157.937,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70,72,203.351,0,0.626,0.706,10,-3.201,0,0.0596,0.00225,0.0,0.122,0.534,99.939,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
71,74,219.493,0,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,69,199.053,0,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
73,75,210.56,0,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
74,75,208.24,0,0.574,0.909,8,-1.573,1,0.0658,0.0987,0.0,0.264,0.569,169.966,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,76,205.493,0,0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
76,72,215.188,0,0.641,0.489,0,-8.668,0,0.11,0.0509,0.0,0.071,0.206,142.977,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,73,276.707,0,0.422,0.578,8,-7.524,1,0.0548,0.443,0.0,0.231,0.227,128.921,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
78,71,214.136,0,0.745,0.739,10,-4.591,1,0.0327,0.405,0.000183,0.127,0.556,99.913,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
79,80,174.386,0,0.755,0.87,1,-2.414,0,0.0936,0.00988,0.0,0.0917,0.645,124.032,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,67,237.076,0,0.592,0.961,4,-1.807,1,0.096,0.0423,0.0,0.0882,0.508,109.826,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,76,167.922,0,0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
82,72,196.776,0,0.612,0.844,5,-4.694,0,0.0757,0.14,0.0,0.289,0.652,134.872,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
83,72,196.505,0,0.613,0.822,1,-3.48,1,0.062,0.0269,0.0,0.0783,0.54,139.936,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
84,71,254.95,0,0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
85,72,218.614,0,0.77,0.817,0,-4.092,0,0.0339,0.0265,0.000103,0.084,0.866,139.979,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
86,70,214.62,0,0.499,0.709,10,-6.404,1,0.134,0.296,0.0,0.331,0.314,164.032,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
87,70,226.321,0,0.639,0.706,7,-7.874,1,0.448,0.0104,0.0,0.132,0.259,105.782,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
88,71,231.859,0,0.593,0.945,8,-3.408,1,0.126,0.00174,0.0,0.923,0.674,110.023,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
